action_taken,applicant_income_000s,applicant_race_1,applicant_sex,lien_status,loan_purpose,loan_type,msamd,owner_occupancy,preapproval,property_type,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income,ID
1,151.0,5,2,1,1,1,35614.0,1,3,1,71300.0,533,1710.0,1377.0,14.050000190734863,4549.0,132.2100067138672,8709
1,223.0,6,3,1,3,1,35004.0,2,3,1,109000.0,273,2014.0,1311.0,53.79999923706055,6156.0,66.9800033569336,9956
3,95.0,5,2,1,3,1,35614.0,1,3,1,71300.0,263,326.0,347.0,69.26000213623047,1389.0,92.33000183105467,10985
1,38.0,5,1,3,2,1,21300.0,1,3,2,64300.0,10,1381.0,1048.0,4.059999942779541,3519.0,91.30999755859376,946
1,63.0,5,1,1,3,1,35004.0,1,3,1,109000.0,50,1568.0,1416.0,8.970000267028809,5105.0,122.87000274658205,10448
1,135.0,5,1,1,3,1,35614.0,1,3,1,71300.0,144,316.0,776.0,68.55000305175781,4096.0,104.56999969482422,6197
1,132.0,5,1,1,1,1,10580.0,2,3,1,82700.0,276,2288.0,1310.0,9.880000114440918,5130.0,111.6999969482422,5395
1,117.0,5,2,1,1,2,35004.0,1,3,1,109000.0,277,1774.0,1637.0,13.359999656677246,4648.0,124.12000274658205,1573
1,84.0,5,1,1,3,1,45060.0,1,3,1,68500.0,132,880.0,751.0,8.15999984741211,1973.0,98.12999725341795,6688
1,61.0,5,1,1,1,2,15380.0,1,2,1,69000.0,290,1591.0,1015.0,22.030000686645508,3850.0,167.25,1173
1,194.0,6,1,1,1,1,35614.0,1,2,1,71300.0,1200,308.0,316.0,83.11000061035156,3037.0,72.31999969482422,6915
1,106.0,5,1,1,3,1,15380.0,1,3,1,69000.0,160,1743.0,1462.0,3.1700000762939453,5023.0,161.69000244140625,763
1,134.0,5,1,1,3,1,35004.0,1,3,1,109000.0,100,749.0,690.0,7.849999904632568,2661.0,111.16000366210938,3862
1,97.0,5,2,1,3,2,35004.0,1,3,1,109000.0,530,2991.0,1096.0,8.069999694824219,2392.0,76.2699966430664,5047
3,49.0,2,1,1,3,1,35614.0,1,3,1,71300.0,404,1495.0,1295.0,68.0,3791.0,130.8000030517578,2987
1,173.0,2,2,1,1,1,35614.0,1,2,1,71300.0,625,1710.0,1377.0,14.050000190734863,4549.0,132.2100067138672,3891
1,289.0,6,1,1,1,1,35614.0,1,2,1,71300.0,600,126.0,1439.0,17.65999984741211,6743.0,303.5,2698
1,27.0,5,1,1,3,1,45060.0,1,3,1,68500.0,52,1162.0,661.0,22.709999084472656,2682.0,72.95999908447266,2206
1,55.0,5,1,1,1,4,46540.0,1,3,1,63000.0,94,1549.0,1116.0,3.559999942779541,3625.0,86.62999725341797,8067
1,225.0,6,1,1,3,1,35004.0,2,3,1,109000.0,251,1158.0,837.0,9.020000457763672,2084.0,93.1999969482422,649
1,104.0,5,1,1,1,1,35004.0,1,3,1,109000.0,315,2649.0,2237.0,6.550000190734863,7401.0,130.02999877929688,9950
1,25.0,5,2,1,3,1,21300.0,1,3,1,64300.0,40,2975.0,2474.0,6.909999847412109,7731.0,150.7100067138672,11207
3,48.0,6,3,1,1,1,35614.0,1,3,1,71300.0,495,652.0,248.0,86.76000213623047,4591.0,66.02999877929688,2819
1,88.0,5,1,1,1,2,35004.0,1,3,1,109000.0,344,1441.0,1264.0,16.139999389648438,4424.0,102.66000366210938,9327
1,206.0,5,1,1,1,1,35004.0,1,2,1,109000.0,538,1288.0,1239.0,27.649999618530277,4029.0,157.0500030517578,9586
3,66.0,5,1,1,1,1,35614.0,1,3,1,71300.0,168,1173.0,880.0,29.600000381469727,2970.0,128.16000366210938,10452
3,189.0,5,1,1,3,1,35004.0,1,3,1,109000.0,375,2141.0,1969.0,6.550000190734863,5021.0,148.7899932861328,282
1,749.0,5,1,1,1,1,35614.0,2,3,1,71300.0,850,232.0,1150.0,30.350000381469727,6304.0,318.9700012207031,430
1,518.0,5,1,1,1,1,35614.0,2,3,1,71300.0,492,730.0,506.0,2.5999999046325684,2886.0,74.19999694824219,589
1,204.0,5,1,1,3,1,35004.0,1,3,1,109000.0,671,783.0,710.0,18.76000022888184,2362.0,114.16999816894533,9882
1,76.0,2,1,1,1,1,35614.0,1,2,1,71300.0,316,212.0,104.0,81.29000091552734,4587.0,43.369998931884766,6799
1,59.0,5,1,1,3,1,45060.0,1,3,1,68500.0,90,1935.0,1646.0,6.619999885559082,5573.0,121.0999984741211,7159
1,271.0,5,2,1,1,1,35614.0,1,3,1,71300.0,1280,1376.0,601.0,94.0199966430664,4180.0,107.12999725341795,8517
3,103.0,5,1,1,3,2,15380.0,1,3,1,69000.0,229,2499.0,2306.0,1.5700000524520874,6179.0,141.92999267578125,11489
1,411.0,5,1,1,1,1,35004.0,1,3,1,109000.0,516,1336.0,1315.0,6.989999771118164,3975.0,158.47999572753906,10174
1,197.0,5,1,1,3,1,35004.0,1,3,1,109000.0,251,1795.0,1359.0,6.489999771118164,4116.0,148.9499969482422,10742
1,75.0,5,1,1,1,1,35004.0,1,2,1,109000.0,185,1305.0,1061.0,41.09000015258789,4281.0,70.16000366210938,6267
1,125.0,3,1,1,3,1,10580.0,1,3,1,82700.0,56,1835.0,470.0,90.58000183105467,3821.0,43.16999816894531,10692
1,38.0,5,1,1,1,2,40380.0,1,3,1,69700.0,57,1739.0,1478.0,3.9700000286102295,4258.0,90.95999908447266,4273
1,47.0,5,2,1,1,1,45060.0,1,1,1,68500.0,100,938.0,862.0,6.75,2295.0,100.37000274658205,9049
1,81.0,5,2,1,1,2,45060.0,1,3,1,68500.0,159,918.0,740.0,6.309999942779541,1964.0,125.91999816894533,550
1,78.0,5,1,1,3,1,35614.0,1,3,1,71300.0,336,629.0,385.0,44.43999862670898,4217.0,83.01000213623047,3474
1,210.0,5,2,3,2,1,45060.0,1,3,1,68500.0,42,2484.0,2230.0,6.690000057220459,7080.0,152.44000244140625,447
3,45.0,5,2,1,1,1,35004.0,1,3,1,109000.0,100,1507.0,1354.0,7.880000114440918,4481.0,122.4000015258789,2701
1,194.0,5,2,1,1,1,35614.0,1,2,1,71300.0,298,2595.0,2184.0,25.56999969482422,8021.0,148.22000122070312,2666
3,124.0,5,1,1,1,2,35004.0,1,3,1,109000.0,636,1257.0,1184.0,10.31999969482422,3713.0,108.04000091552734,11304
1,100.0,5,1,1,3,1,35004.0,1,3,1,109000.0,132,1341.0,1265.0,5.820000171661377,4293.0,151.52999877929688,761
1,90.0,5,2,1,3,1,35614.0,1,3,1,71300.0,245,2791.0,2037.0,90.11000061035156,12998.0,59.900001525878906,4494
3,199.0,3,1,1,1,1,35614.0,1,3,1,71300.0,123,660.0,496.0,98.80999755859376,3608.0,73.02999877929688,10325
