action_taken,applicant_income_000s,applicant_race_1,applicant_sex,lien_status,loan_purpose,loan_type,msamd,owner_occupancy,preapproval,property_type,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income,ID
3,220.0,5,1,1,3,1,24020.0,2,3,1,65400.0,175,1828.0,1064.0,3.650000095367432,3347.0,105.01000213623048,0
1,115.0,5,1,1,1,3,40380.0,1,3,1,69700.0,239,1189.0,1019.0,5.5,2856.0,112.56999969482422,1
1,133.0,5,2,1,1,1,10580.0,1,1,1,82700.0,309,3488.0,2002.0,6.130000114440918,8977.0,110.22000122070312,2
1,123.0,6,2,1,1,2,35614.0,1,2,1,71300.0,697,685.0,253.0,98.9800033569336,3422.0,69.37999725341797,3
1,78.0,5,1,1,1,1,15380.0,1,2,1,69000.0,137,3226.0,2357.0,7.050000190734863,8241.0,137.91000366210938,5
1,300.0,6,3,1,1,1,35614.0,1,3,1,71300.0,800,136.0,2470.0,19.01000022888184,12444.0,211.32000732421875,8
3,61.0,5,2,3,2,1,35614.0,1,3,1,71300.0,3,1409.0,1028.0,20.270000457763672,4948.0,244.4600067138672,9
1,126.0,5,1,1,3,1,35614.0,1,3,1,71300.0,370,2170.0,1789.0,26.270000457763672,6959.0,208.8999938964844,10
3,120.0,5,2,1,3,1,35614.0,1,3,1,71300.0,232,1346.0,1369.0,6.150000095367432,4277.0,178.0500030517578,11
3,36.0,5,2,3,2,1,46540.0,1,3,1,63000.0,20,784.0,152.0,64.48999786376953,2064.0,39.45000076293945,12
1,196.0,5,1,1,3,1,35614.0,1,3,1,71300.0,460,1710.0,1632.0,17.299999237060547,4993.0,314.8800048828125,13
1,35.0,5,2,3,2,1,46540.0,1,3,1,63000.0,7,1317.0,1138.0,3.25,3420.0,95.75,14
1,77.0,5,1,1,1,1,35614.0,1,3,1,71300.0,357,2735.0,2301.0,13.329999923706056,7388.0,155.9199981689453,15
1,128.0,5,2,3,2,1,40380.0,1,3,1,69700.0,6,2334.0,1660.0,6.5,5843.0,115.86000061035156,18
3,47.0,5,1,2,3,1,35004.0,1,3,1,109000.0,56,1955.0,1776.0,9.220000267028809,6007.0,95.2699966430664,19
